,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
72,5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,60.0,2.0,spotify:track:5pOY1Vg2TIIbVBfR6yAg0C,0.677,0.81,-6.192,0.0378,0.643,3e-06,0.168,0.614,110.044,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
73,4xm7NTpUd9wJNxjvSHMeyQ,Gaali Vaaluga,0.0,2.0,spotify:track:4xm7NTpUd9wJNxjvSHMeyQ,0.676,0.81,-6.194,0.038,0.64,2.88e-06,0.165,0.616,110.036,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
74,4xm7NTpUd9wJNxjvSHMeyQ,Gaali Vaaluga,0.0,2.0,spotify:track:4xm7NTpUd9wJNxjvSHMeyQ,0.676,0.81,-6.194,0.038,0.64,2.88e-06,0.165,0.616,110.036,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),2017-12-19
75,4xm7NTpUd9wJNxjvSHMeyQ,Gaali Vaaluga,0.0,2.0,spotify:track:4xm7NTpUd9wJNxjvSHMeyQ,0.676,0.81,-6.194,0.038,0.64,2.88e-06,0.165,0.616,110.036,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
76,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
77,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
78,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
79,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
80,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
81,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
82,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
83,7mNQwVYgoB3mtjkjCKsbXM,Hoyna Hoyna,62.0,2.0,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.713,0.727,-7.166,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
84,2RB3zzgxWc2RRBaJOkSEka,Senjitaley,61.0,2.0,spotify:track:2RB3zzgxWc2RRBaJOkSEka,0.655,0.941,-5.185,0.14,0.476,3.22e-06,0.215,0.344,88.073,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2016-09-05
85,2RB3zzgxWc2RRBaJOkSEka,Senjitaley,61.0,2.0,spotify:track:2RB3zzgxWc2RRBaJOkSEka,0.655,0.941,-5.185,0.14,0.476,3.22e-06,0.215,0.344,88.073,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2016-09-05
86,2RB3zzgxWc2RRBaJOkSEka,Senjitaley,61.0,2.0,spotify:track:2RB3zzgxWc2RRBaJOkSEka,0.655,0.941,-5.185,0.14,0.476,3.22e-06,0.215,0.344,88.073,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2016-09-05
