,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
268,2NOTi5LCnVtftncWP9nXiG,Neneppudaina,43.0,4.0,spotify:track:2NOTi5LCnVtftncWP9nXiG,0.669,0.654,-7.638,0.0829,0.547,3.44e-05,0.127,0.473,88.951,"Shankar Mahadevan, Shreya Ghoshal",Ramayya Vasthavayya,2013-09-21
269,4cQ1djodOciziIoME8Yo9e,O Lailaa,32.0,3.0,spotify:track:4cQ1djodOciziIoME8Yo9e,0.641,0.954,-5.888,0.214,0.271,0.0,0.0595,0.726,134.941,"Rahul, Chours",Ramayya Vasthavayya,2013-09-21
270,1f0YhW497uhA3NKe5S3fkA,Jabilli Nuvve,38.0,1.0,spotify:track:1f0YhW497uhA3NKe5S3fkA,0.838,0.72,-8.892,0.0376,0.308,0.000426,0.229,0.933,120.038,Ranjith Govind,Ramayya Vasthavayya,2013-09-21
271,1NvPsjNqD527lOJ2z8ucnb,Emo Emo,35.0,4.0,spotify:track:1NvPsjNqD527lOJ2z8ucnb,0.806,0.676,-5.262,0.0451,0.338,0.0,0.15,0.822,109.954,"Armaan Malik, Shreya Ghoshal",Katamarayudu,2017-03-03
280,0WoXNjPmNxccicpCj1LPtu,Mass Biriyani,49.0,4.0,spotify:track:0WoXNjPmNxccicpCj1LPtu,0.816,0.941,-4.777,0.0621,0.555,0.000189,0.0541,0.864,128.066,"Rahul Nambiar, Sahithi Chaganti",Krack,2021-01-08
281,3WFhdtvbXKXfRSJ2cPgdph,Yaen Ennai,34.0,1.0,spotify:track:3WFhdtvbXKXfRSJ2cPgdph,0.841,0.752,-5.986,0.0758,0.0372,0.0,0.707,0.653,122.999,"Harris Jayaraj, Sunitha Sarathy, Kharesma Ravichandran",Yennai Arindhaal (Original Motion Picture Soundtrack),2015-01-04
282,5ich0wSxDxMryEjwZo6XzG,Mazhai Vara Pogudhae,54.0,2.0,spotify:track:5ich0wSxDxMryEjwZo6XzG,0.835,0.739,-5.832,0.0448,0.164,0.0,0.0812,0.675,111.986,"Harris Jayaraj, Karthik, Emcee Jesz",Yennai Arindhaal (Original Motion Picture Soundtrack),2015-01-04
283,78PoXHAbXHvOx0HMaa1a8z,I Wanna Fly,52.0,3.0,spotify:track:78PoXHAbXHvOx0HMaa1a8z,0.648,0.911,-2.93,0.0486,0.107,0.0,0.176,0.526,91.983,"L. V. Revanth, Sanjith Hegde, Hiphop Tamizha",Krishnarjuna Yudham,2018-03-26
284,2M8ic65G0VLkS6nEY53Uex,Kadhal Cricket - Love (Not Out),53.0,3.0,spotify:track:2M8ic65G0VLkS6nEY53Uex,0.624,0.764,-3.724,0.0577,0.232,0.00055,0.131,0.961,190.089,"Hiphop Tamizha, Kharesma Ravichandran",Thani Oruvan (Original Motion Picture Soundtrack),2015-07-22
285,4nSwWiwtieiNmRAjy9fEXN,Kannala Kannala - The Melting Point of Love,63.0,2.0,spotify:track:4nSwWiwtieiNmRAjy9fEXN,0.593,0.776,-4.343,0.0325,0.216,2.94e-05,0.329,0.634,81.992,"Hiphop Tamizha, Kaushik Krish, Padmalatha",Thani Oruvan (Original Motion Picture Soundtrack),2015-07-22
286,0zsA45R0SQPfqC5TyDOqY8,Neeyum Naanum Anbe,69.0,3.0,spotify:track:0zsA45R0SQPfqC5TyDOqY8,0.467,0.826,-3.885,0.049,0.298,0.0,0.204,0.417,160.025,"Hiphop Tamizha, Raghu Dixit, Sathyaprakash D., Jithin Raj",Imaikkaa Nodigal (Original Motion Picture Soundtrack),2018-06-27
287,2cbRVHdH6ab9sPsnQjFRx6,Poongatre Poongatre,54.0,2.0,spotify:track:2cbRVHdH6ab9sPsnQjFRx6,0.825,0.669,-9.117,0.0475,0.0761,0.169,0.329,0.767,119.993,"Yuvan Shankar Raja, Benny Dayal",Paiya (Original Motion Picture Soundtrack),2010-11-22
